Temp,Hum,Output,Time_us
36.16,62.13,49.93336,7.88
38.30,59.30,56.12082,7.88
37.45,85.85,73.73096,7.88
30.61,90.70,43.78475,7.88
34.89,76.53,53.94139,7.58
27.82,82.69,31.87649,7.58
36.34,97.10,77.69949,7.88
26.78,78.90,29.57934,7.88
27.56,50.25,27.62009,7.88
35.49,87.44,64.49487,7.88
28.95,96.00,38.32633,7.88
35.29,92.53,67.44379,7.88
34.27,49.83,38.99323,7.88
33.69,69.32,45.16063,7.88
37.73,97.12,87.11125,7.88
37.30,54.84,49.10749,7.58
29.76,77.19,36.18603,7.88
39.14,73.45,71.05373,7.58
30.82,97.68,47.11079,7.58
28.38,67.53,30.47867,7.88
27.73,99.89,34.85765,7.58
35.68,40.81,39.01781,7.58
31.83,47.01,33.63652,7.88
29.71,84.13,37.42595,7.58
31.56,87.99,46.39849,7.58
28.35,70.93,31.01541,7.88
28.43,54.64,29.59673,7.88
36.35,57.07,47.57941,7.58
29.71,84.54,37.50742,7.88
32.97,91.15,53.69700,10.79
37.17,40.83,42.41948,7.88
30.14,76.09,37.02565,7.88
26.86,76.23,29.39675,7.58
36.44,71.14,56.40629,7.58
28.58,70.90,31.64996,7.58
37.48,56.70,51.19289,7.88
33.13,92.95,55.56981,7.88
32.11,42.36,32.90577,7.88
37.95,49.51,47.78149,7.58
28.62,44.46,28.23345,7.88
26.72,57.43,27.37186,7.88
33.53,42.45,35.24433,7.88
28.16,68.96,30.34057,7.88
36.74,55.62,47.81135,7.58
38.96,61.84,60.08959,7.88
35.32,76.58,55.55819,7.88
27.70,94.63,33.80242,7.88
38.14,62.24,57.30548,7.58
27.00,40.67,27.57169,7.58
27.93,56.08,29.26935,7.88
37.56,67.47,58.32306,7.58
29.44,51.02,30.20390,7.58
27.57,46.61,27.62351,7.58
31.54,61.48,36.81916,7.58
26.84,83.79,30.18872,7.88
26.92,95.91,31.84592,7.58
31.31,57.51,34.97925,7.58
33.22,77.94,48.43563,7.88
37.46,65.14,56.54733,57.75
38.29,84.37,76.92373,8.46
36.32,72.74,56.92953,7.88
32.20,54.90,36.23235,7.58
36.33,70.13,55.39064,8.46
31.96,84.47,46.36651,7.88
36.46,91.76,73.44071,7.88
27.94,87.21,33.10752,7.88
38.11,60.58,56.19257,7.58
32.43,49.37,35.08712,7.58
35.30,71.23,52.25431,7.88
32.23,71.08,41.58483,7.58
31.60,99.69,51.18129,7.88
29.80,80.67,36.98898,7.88
32.44,88.60,50.30510,7.58
27.62,64.93,29.53562,123.38
39.44,90.35,90.88769,8.75
34.60,70.20,49.04961,7.88
29.58,64.86,33.23446,7.88
33.09,59.79,39.93362,7.58
28.54,69.45,31.25041,7.58
28.91,77.32,33.84477,7.88
36.51,94.55,76.29237,7.88
27.29,66.05,28.96021,7.58
28.42,68.09,30.64597,7.88
39.97,85.03,88.10780,7.58
34.82,86.39,59.86575,7.88
29.15,82.38,35.51868,7.88
28.23,82.79,33.03814,7.58
34.69,84.37,57.53738,7.88
32.77,42.94,34.13012,7.58
38.56,59.45,57.13273,7.88
35.89,90.34,69.08038,7.88
30.13,82.56,38.28356,7.88
33.89,47.85,37.42774,7.58
32.86,55.99,38.14921,7.58
36.25,84.42,66.12205,7.58
39.72,40.47,48.10181,7.88
27.61,85.25,31.80042,7.88
34.73,74.29,51.99863,7.58
35.80,79.31,59.01888,7.88
34.23,57.80,41.98040,7.88
38.80,45.00,47.72171,7.58
28.62,87.07,34.97476,7.58
37.35,80.44,68.18075,7.58
35.08,62.19,45.98464,7.88
38.39,55.11,53.15073,7.58
29.01,93.63,37.85581,7.88
39.38,72.19,71.13903,7.88
28.53,44.48,28.04741,7.88
28.73,65.43,30.98064,7.88
28.62,95.70,36.77504,7.88
31.38,77.37,40.73318,7.58
39.28,98.40,98.89693,7.88
34.89,70.64,50.38529,7.58
27.32,59.06,28.70332,7.58
29.76,51.92,30.96177,7.58
32.35,85.52,48.46900,7.88
38.79,79.72,75.14599,7.88
36.36,61.45,50.26076,7.88
37.34,43.91,43.89529,7.58
32.40,40.00,32.77606,7.58
27.45,75.42,30.09466,7.88
31.36,94.33,48.45707,7.88
33.45,62.34,41.61749,7.58
30.38,92.41,43.53076,7.58
29.00,70.68,32.77586,7.88
28.23,54.44,29.40671,7.88
31.20,91.37,46.52822,7.88
31.63,46.89,33.27974,7.58
29.24,61.98,31.54232,7.88
39.70,51.57,55.23367,7.88
29.41,60.61,31.50367,7.58
39.81,50.31,54.82343,7.88
31.54,41.74,31.81797,7.58
27.89,46.68,27.60966,7.88
38.37,85.11,78.13355,7.88
28.30,89.98,34.63085,7.88
37.37,63.37,55.14662,7.58
30.74,46.24,31.66246,7.58
38.64,74.16,69.09672,7.88
