Temp,Hum,Output,Time_us
30.00,69.16,34.99352,23.63
29.77,82.57,37.13357,23.04
29.92,78.86,36.77689,25.08
39.18,44.37,48.54716,22.46
29.29,83.59,36.06355,24.21
27.19,62.83,28.57337,24.21
35.79,41.94,39.98697,25.38
37.44,87.59,75.29778,23.63
33.22,55.77,39.27362,22.17
32.12,66.43,39.63029,23.33
26.99,69.98,29.28672,23.63
33.96,86.50,55.32398,22.46
32.46,80.68,46.76379,23.04
34.81,76.41,53.54061,24.50
33.37,43.31,34.99352,23.63
33.98,50.66,38.56027,22.75
37.58,78.69,68.16428,25.96
37.65,94.24,83.50129,22.17
36.43,41.76,41.05699,25.08
35.26,99.47,72.80105,24.21
33.79,97.61,62.45748,23.33
35.46,85.72,62.45748,23.33
33.73,62.78,42.12702,23.63
29.81,88.19,39.27362,24.21
36.90,62.69,53.18394,23.33
35.13,81.78,57.46403,25.08
31.50,91.86,48.19049,24.50
26.90,55.81,27.50335,24.50
36.16,62.13,50.33054,23.33
38.30,59.30,55.32398,23.33
37.45,85.85,73.51440,22.75
30.61,90.70,43.55371,24.21
34.89,76.53,53.54061,23.92
27.82,82.69,32.14012,24.79
36.34,97.10,77.43782,24.79
26.78,78.90,29.64340,23.63
27.56,50.25,27.50335,24.21
35.49,87.44,64.24085,24.79
28.95,96.00,38.91694,23.04
35.29,92.53,67.09425,23.63
34.27,49.83,38.56027,47.25
33.69,69.32,45.33709,29.17
37.73,97.12,87.06804,26.54
37.30,54.84,49.61719,30.04
29.76,77.19,36.42022,25.67
39.14,73.45,71.01767,24.50
30.82,97.68,47.12046,23.33
28.38,67.53,30.71342,23.33
27.73,99.89,34.63684,25.67
35.68,40.81,38.91694,23.63
31.83,47.01,33.56682,23.04
29.71,84.13,37.13357,24.79
31.56,87.99,46.40711,25.67
28.35,70.93,31.07010,23.33
28.43,54.64,29.64340,24.21
36.35,57.07,48.19049,22.75
29.71,84.54,37.49025,23.63
32.97,91.15,53.89729,24.21
37.17,40.83,42.48369,24.50
30.14,76.09,36.77689,23.63
26.86,76.23,29.28672,23.33
36.44,71.14,56.03733,23.33
28.58,70.90,31.78345,22.75
37.48,56.70,51.40056,23.63
33.13,92.95,55.68066,23.92
32.11,42.36,33.21015,23.63
37.95,49.51,47.83381,24.79
28.62,44.46,28.21670,24.21
26.72,57.43,27.50335,25.67
33.53,42.45,35.35020,25.38
28.16,68.96,30.71342,23.63
36.74,55.62,48.54716,25.08
38.96,61.84,59.60408,22.75
35.32,76.58,54.96731,23.63
27.70,94.63,33.56682,23.04
38.14,62.24,56.75068,23.92
27.00,40.67,27.86002,23.33
27.93,56.08,29.28672,32.08
37.56,67.47,58.53406,27.13
29.44,51.02,30.35675,23.63
27.57,46.61,27.50335,23.63
31.54,61.48,36.77689,24.79
26.84,83.79,30.00007,24.21
26.92,95.91,32.14012,23.33
31.31,57.51,34.99352,25.38
33.22,77.94,48.90384,22.46
37.46,65.14,56.39401,63.58
38.29,84.37,76.72447,150.79
36.32,72.74,57.10736,44.04
32.20,54.90,36.42022,33.25
36.33,70.13,55.32398,30.92
31.96,84.47,46.40711,28.29
36.46,91.76,73.51440,24.21
27.94,87.21,32.49680,25.96
38.11,60.58,55.68066,24.79
32.43,49.37,34.99352,23.92
35.30,71.23,51.75724,24.21
32.23,71.08,41.41367,24.21
31.60,99.69,51.04388,23.33
29.80,80.67,37.13357,23.63
32.44,88.60,50.33054,23.33
27.62,64.93,29.28672,24.21
39.44,90.35,90.99146,25.08
34.60,70.20,49.26051,22.75
29.58,64.86,33.56682,22.75
33.09,59.79,39.98697,24.50
28.54,69.45,31.42677,24.21
28.91,77.32,33.92350,23.92
36.51,94.55,76.36780,25.08
27.29,66.05,28.93005,23.92
28.42,68.09,30.71342,24.50
39.97,85.03,87.78139,22.46
34.82,86.39,59.96075,23.63
29.15,82.38,35.35020,24.50
28.23,82.79,32.85347,23.33
34.69,84.37,57.10736,23.04
32.77,42.94,34.28017,21.58
38.56,59.45,56.75068,23.04
35.89,90.34,68.87762,25.38
30.13,82.56,38.20359,24.50
33.89,47.85,37.13357,24.50
32.86,55.99,38.20359,23.33
36.25,84.42,65.66756,23.63
39.72,40.47,48.19049,23.33
27.61,85.25,31.78345,24.79
34.73,74.29,51.75724,22.75
35.80,79.31,58.89073,23.04
34.23,57.80,42.12702,24.21
38.80,45.00,47.47714,23.63
28.62,87.07,34.63684,24.50
37.35,80.44,68.52095,22.46
35.08,62.19,46.40711,25.08
38.39,55.11,52.47058,23.92
29.01,93.63,37.84692,21.29
39.38,72.19,70.66100,22.46
28.53,44.48,28.21670,23.92
28.73,65.43,31.07010,25.67
28.62,95.70,37.13357,25.08
31.38,77.37,40.70032,24.50
39.28,98.40,98.48164,24.21
34.89,70.64,50.33054,24.21
27.32,59.06,28.57337,22.75
29.76,51.92,31.07010,23.33
32.35,85.52,48.54716,23.63
38.79,79.72,74.94110,24.21
36.36,61.45,50.68721,22.75
37.34,43.91,43.91039,25.96
32.40,40.00,32.85347,23.63
27.45,75.42,30.35675,23.63
31.36,94.33,48.19049,22.75
33.45,62.34,41.41367,22.75
30.38,92.41,43.19704,23.63
29.00,70.68,32.85347,24.21
28.23,54.44,29.64340,23.92
31.20,91.37,46.40711,24.50
31.63,46.89,33.21015,22.46
29.24,61.98,32.14012,23.33
39.70,51.57,55.32398,23.04
29.41,60.61,31.78345,24.79
39.81,50.31,54.61063,22.17
31.54,41.74,31.78345,23.04
27.89,46.68,27.86002,23.92
38.37,85.11,78.15117,23.92
28.30,89.98,34.99352,24.79
37.37,63.37,55.68066,23.92
30.74,46.24,31.42677,22.75
38.64,74.16,69.23430,22.46
31.21,61.34,36.06355,23.04
26.94,42.69,27.86002,25.08
36.95,78.78,63.88418,23.04
39.97,68.07,69.59097,24.50
35.57,53.10,43.19704,26.25
34.05,53.87,39.98697,23.33
32.57,51.93,36.42022,23.33
27.21,40.34,27.86002,23.04
32.63,73.73,44.26707,23.92
30.68,74.12,38.20359,23.92
39.86,84.95,87.06804,24.21
30.57,67.96,36.77689,22.75
34.22,54.63,40.70032,23.33
29.63,91.22,39.63029,23.33
28.99,85.62,35.70687,23.92
34.62,50.94,39.98697,23.04
28.00,41.99,27.86002,23.33
36.18,49.96,42.84037,23.92
37.96,67.64,59.96075,25.08
31.52,62.89,37.13357,59.21
32.83,66.84,41.41367,38.79
34.27,95.38,63.88418,29.75
33.72,73.41,47.83381,30.63
28.68,94.67,36.77689,27.42
34.70,82.32,56.75068,27.42
36.36,76.19,58.89073,47.54
37.20,78.11,64.95420,32.96
27.98,95.32,34.63684,28.88
37.01,67.08,56.39401,26.54
26.78,78.72,29.28672,23.63
30.94,96.51,47.12046,24.50
27.06,80.82,30.00007,24.50
34.69,62.19,45.33709,23.63
29.60,66.74,33.92350,23.04
28.13,66.39,30.35675,23.04
35.33,42.76,38.91694,23.92
37.40,55.03,49.97386,23.33
33.99,41.18,35.70687,24.79
28.33,96.56,35.70687,23.92
38.04,91.19,82.43127,22.46
26.94,91.12,31.42677,24.79
36.69,60.67,51.40056,24.79
28.79,82.31,34.28017,25.08
34.41,43.27,37.13357,24.21
28.62,57.82,30.00007,23.33
34.36,43.88,36.77689,25.96
28.92,45.51,29.28672,23.33
29.78,57.67,31.78345,23.63
31.76,61.90,37.49025,23.04
36.44,82.97,64.95420,23.63
28.64,98.43,38.20359,23.33
38.27,91.99,85.28467,23.04
33.34,63.67,41.77034,25.08
33.16,72.98,45.69376,23.33
28.23,53.17,28.93005,23.92
